contract,openMarginRate,closeMarginRate,margin,isMainContract
ad2606,0.1,0.1,22835.0,0
ad2607,0.1,0.1,23000.0,1
ad2608,0.1,0.1,23110.0,0
ad2609,0.1,0.1,23305.0,0
ad2610,0.1,0.1,23295.0,0
ad2611,0.1,0.1,23565.0,0
ad2612,0.1,0.1,23420.0,0
ad2701,0.1,0.1,23735.0,0
ad2702,0.1,0.1,23730.0,0
ad2703,0.07,0.07,16555.0,0
ag2606,0.22,0.22,60307.5,0
ag2607,0.22,0.22,60353.7,0
ag2608,0.22,0.22,60436.2,1
ag2609,0.22,0.22,60436.2,0
ag2610,0.22,0.22,60469.2,0
ag2611,0.22,0.22,60485.7,0
ag2612,0.22,0.22,60555.0,0
ag2701,0.22,0.22,60538.5,0
ag2702,0.22,0.22,60660.6,0
ag2703,0.22,0.22,60680.4,0
al2606,0.12,0.12,14583.0,0
al2607,0.12,0.12,14616.0,1
al2608,0.12,0.12,14652.0,0
al2609,0.12,0.12,14670.0,0
al2610,0.12,0.12,14679.0,0
al2611,0.12,0.12,14682.0,0
al2612,0.12,0.12,14688.0,0
al2701,0.12,0.12,14700.0,0
al2702,0.12,0.12,14712.0,0
al2703,0.09,0.09,11043.0,0
ao2606,0.12,0.12,6127.2,0
ao2607,0.12,0.12,6266.4,0
ao2608,0.12,0.12,6384.0,0
ao2609,0.12,0.12,6501.6,1
ao2610,0.12,0.12,6607.2,0
ao2611,0.12,0.12,6672.0,0
ao2612,0.12,0.12,6724.8,0
ao2701,0.12,0.12,6789.6,0
ao2702,0.12,0.12,6847.2,0
ao2703,0.09,0.09,5184.0,0
au2606,0.19,0.19,188620.6,1
au2608,0.19,0.19,189122.2,0
au2610,0.19,0.19,189536.4,0
au2612,0.19,0.19,189897.4,0
au2702,0.19,0.19,190437.0,0
au2704,0.19,0.19,190828.4,0
br2606,0.14,0.14,10482.5,1
br2607,0.14,0.14,10612.0,0
br2608,0.14,0.14,10570.0,0
br2609,0.14,0.14,10500.0,0
br2610,0.14,0.14,10465.0,0
br2611,0.14,0.14,10500.0,0
br2612,0.14,0.14,10496.5,0
br2701,0.14,0.14,10311.0,0
br2702,0.14,0.14,10423.0,0
br2703,0.14,0.14,10384.5,0
bu2606,0.14,0.14,6330.8,1
bu2607,0.14,0.14,6274.8,0
bu2608,0.14,0.14,6216.0,0
bu2609,0.14,0.14,6133.4,0
bu2610,0.14,0.14,5966.8,0
bu2611,0.14,0.14,5782.0,0
bu2612,0.14,0.14,5630.8,0
bu2701,0.14,0.14,5458.6,0
bu2702,0.14,0.14,5405.4,0
bu2703,0.14,0.14,5373.2,0
bu2706,0.14,0.14,5227.6,0
bu2709,0.14,0.14,5149.2,0
bu2712,0.14,0.14,5100.2,0
bu2803,0.14,0.14,5063.8,0
cu2606,0.12,0.12,62364.0,0
cu2607,0.12,0.12,62424.0,1
cu2608,0.12,0.12,62436.0,0
cu2609,0.12,0.12,62442.0,0
cu2610,0.12,0.12,62376.0,0
cu2611,0.12,0.12,62418.0,0
cu2612,0.12,0.12,62352.0,0
cu2701,0.12,0.12,62250.0,0
cu2702,0.12,0.12,62220.0,0
cu2703,0.09,0.09,46620.0,0
fu2606,0.22,0.22,10051.8,0
fu2607,0.22,0.22,9636.0,0
fu2608,0.22,0.22,9310.4,0
fu2609,0.22,0.22,9068.4,1
fu2610,0.22,0.22,8767.0,0
fu2611,0.22,0.22,8481.0,0
fu2612,0.22,0.22,8214.8,0
fu2701,0.22,0.22,8104.8,0
fu2702,0.22,0.22,7953.0,0
fu2703,0.22,0.22,7825.4,0
hc2606,0.1,0.1,3390.0,0
hc2607,0.07,0.07,2366.7,0
hc2608,0.07,0.07,2370.2,0
hc2609,0.07,0.07,2372.3,0
hc2610,0.07,0.07,2375.8,1
hc2611,0.07,0.07,2380.0,0
hc2612,0.07,0.07,2379.3,0
hc2701,0.07,0.07,2384.2,0
hc2702,0.07,0.07,2391.2,0
hc2703,0.07,0.07,2401.7,0
ni2606,0.14,0.14,19987.8,1
ni2607,0.14,0.14,20062.0,0
ni2608,0.14,0.14,20139.0,0
ni2609,0.14,0.14,20204.8,0
ni2610,0.14,0.14,20259.4,0
ni2611,0.14,0.14,20309.8,0
ni2612,0.14,0.14,20354.6,0
ni2701,0.14,0.14,20407.8,0
ni2702,0.14,0.14,20456.8,0
ni2703,0.14,0.14,20517.0,0
op2606,0.1,0.1,15904.0,0
op2607,0.09,0.09,14421.6,1
op2608,0.09,0.09,14544.0,0
op2609,0.09,0.09,14637.6,0
op2610,0.09,0.09,14832.0,0
op2611,0.09,0.09,14745.6,0
op2612,0.09,0.09,14868.0,0
op2701,0.09,0.09,14911.2,0
pb2606,0.12,0.12,9963.0,0
pb2607,0.12,0.12,9987.0,1
pb2608,0.12,0.12,10017.0,0
pb2609,0.12,0.12,10050.0,0
pb2610,0.12,0.12,10080.0,0
pb2611,0.12,0.12,10104.0,0
pb2612,0.12,0.12,10119.0,0
pb2701,0.12,0.12,10089.0,0
pb2702,0.12,0.12,10140.0,0
pb2703,0.09,0.09,7533.0,0
rb2606,0.1,0.1,3149.0,0
rb2607,0.07,0.07,2218.3,0
rb2608,0.07,0.07,2207.8,0
rb2609,0.07,0.07,2214.8,0
rb2610,0.07,0.07,2222.5,1
rb2611,0.07,0.07,2229.5,0
